Ref,Val,Package,PosX,PosY,Rot,Side
"C1","CP","CP_Radial_D5.0mm_P2.00mm",44.900000,-117.400000,0.000000,bottom
"C2","CP","CP_Radial_D5.0mm_P2.00mm",44.700000,-110.100000,0.000000,bottom
"C6","20p","C_0603_1608Metric",24.620000,-152.500000,90.000000,bottom
"C7","10u","C_0603_1608Metric",21.620000,-156.225000,90.000000,bottom
"C8","220uF","CP_Radial_D5.0mm_P2.00mm",15.500000,-53.500000,90.000000,bottom
"C10","10u","C_0603_1608Metric",39.620000,-152.500000,180.000000,bottom
"C11","0.1u","C_0603_1608Metric",39.620000,-155.010000,180.000000,bottom
"C12","220uF","CP_Radial_D5.0mm_P2.00mm",9.000000,-53.500000,90.000000,bottom
"J3","Conn_01x08_Female","PinHeader_1x08_P2.54mm_Vertical",39.120000,-166.000000,90.000000,bottom
"J5","USBSERIAL","PinSocket_1x06_P2.54mm_Horizontal",6.500000,-74.800000,180.000000,bottom
"Q1","Q_NMOS_GSD","TO-252-2",13.220000,-154.000000,180.000000,bottom
"R8","1k","R_0603_1608Metric",21.620000,-152.425000,90.000000,bottom
"R9","10k","R_0603_1608Metric",24.620000,-156.175000,90.000000,bottom
"U5","NJM2845DL1-33","TO-252-2",48.020000,-154.000000,0.000000,bottom
"BT1","Battery","JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical",46.120000,-166.000000,180.000000,top
"BZ1","Buzzer","MagneticBuzzer_ProSignal_ABI-010-RC",12.560000,-63.500000,180.000000,top
"C3","10u","C_0603_1608Metric",12.025000,-128.300000,180.000000,top
"C4","0.1u","C_0603_1608Metric",10.500000,-123.500000,-90.000000,top
"C5","0.1u","C_0603_1608Metric",13.500000,-123.500000,-90.000000,top
"C9","10uF","C_0603_1608Metric",40.275000,-33.500000,180.000000,top
"D1","D_Schottky","D_SOD-123",1.400000,-47.950000,90.000000,top
"D2","D_Schottky","D_SOD-123",5.350000,-47.850000,90.000000,top
"D3","LED","LED_D3.0mm",28.500000,-130.500000,0.000000,top
"J1","DCJACK","DCJACK",58.120000,-164.500000,180.000000,top
"J2","DEBUG","PinHeader_1x10_P2.54mm_Vertical",-1.400000,-75.180000,180.000000,top
"J7","Conn_01x13_Female","PinHeader_1x13_P2.54mm_Vertical",39.120000,-163.500000,-90.000000,top
"J9","Conn_01x13_Male","PinSocket_1x13_P2.54mm_Horizontal",39.120000,-160.000000,-90.000000,top
"J11","Conn_01x13_Female","PinHeader_1x13_P2.54mm_Vertical",39.000000,-47.500000,-90.000000,top
"J12","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",-1.300000,-158.600000,0.000000,top
"J13","SD_CARD_MODULE","PinHeader_1x06_P2.54mm_Vertical",50.000000,-99.000000,0.000000,top
"OSHW","1.1","OSHW_LOGL_SYLK_5mm",30.000000,-142.600000,0.000000,top
"Q3","Si4542DY","SO-8_5.3x6.2mm_P1.27mm",57.905000,-64.000000,-90.000000,top
"R1","10k","R_0603_1608Metric",18.500000,-126.500000,0.000000,top
"R2","510k","R_0603_1608Metric",41.000000,-113.900000,180.000000,top
"R3","510k","R_0603_1608Metric",41.000000,-111.000000,180.000000,top
"R4","510k","R_0603_1608Metric",41.025000,-99.890000,180.000000,top
"R5","510k","R_0603_1608Metric",41.025000,-102.400000,180.000000,top
"R6","510k","R_0603_1608Metric",41.000000,-105.200000,0.000000,top
"R7","510k","R_0603_1608Metric",41.000000,-108.100000,180.000000,top
"R10","1k","R_0603_1608Metric",63.000000,-61.675000,-90.000000,top
"R11","1k","R_0603_1608Metric",63.000000,-66.175000,-90.000000,top
"R12","10k","R_0603_1608Metric",62.175000,-57.500000,0.000000,top
"R13","1k","R_0603_1608Metric",63.000000,-70.325000,90.000000,top
"R14","10k","R_0603_1608Metric",52.675000,-57.500000,0.000000,top
"R15","75","R_0603_1608Metric",31.355000,-124.670000,180.000000,top
"R16","270-1k","R_0603_1608Metric",13.675000,-41.500000,0.000000,top
"R17","10k","R_0603_1608Metric",37.800000,-88.500000,180.000000,top
"REF**","SolderWirePad_single_1-2mmDrill","SolderWirePad_single_1-2mmDrill",-43.199400,-52.279800,0.000000,top
"REF**","SolderWirePad_single_1-2mmDrill","SolderWirePad_single_1-2mmDrill",-43.924400,-16.879800,0.000000,top
"SW2","SW_DPST","5.8x5.8_7.0x7.0_8.5x8.5_SWITCH_EDGEMOUNT",56.500000,-51.000000,-90.000000,top
"SW3","A","SW_PUSH_6mm",17.250000,-95.240000,180.000000,top
"SW4","B","SW_PUSH_6mm",33.230000,-95.240000,180.000000,top
"SW5","OK","SW_PUSH_6mm",48.240000,-89.730000,-90.000000,top
"U1","ESP-WROOM-32","ESP-WROOM-32",9.000000,-110.500000,90.000000,top
"U2","JLX12864G-LCD","JLX12864G_128x64_2.11in_LCD_Module",54.250000,-37.000000,0.000000,top
"U6","DCDC Up/Down","TPS63020_Module_Both_Strawberrylinux_Taobao",33.890000,-56.310000,0.000000,top
